연월,지역,사업유형,주소,주택명,세대수
2026-06,인천,분양임대조합,인천광역시 미추홀구 숭의동  18-0,e편한세상 제물포역 파크메종,736
2025-06,인천,분양임대조합,인천광역시 미추홀구 숭의동  232-1,두산위브더제니스,1115
2025-12,인천,분양임대조합,인천광역시 미추홀구 주안동  590-22,주안 센트럴 파라곤,1291
2025-04,인천,분양조합,인천광역시 미추홀구 주안동  882-1,주안 극동스타클래스 더 로얄,357
2025-01,인천,분양,인천광역시 미추홀구 학익동  0-0,시티오씨엘 4단지,428
2026-04,인천,분양임대조합,인천광역시 미추홀구 학익동  290-1,포레나 인천학익 ,562
2025-02,인천,분양조합,인천광역시 부평구 부평동  767-1,부평 하우스토리 어반그린,160
2026-08,인천,임대,인천광역시 부평구 산곡동 70-8 일원,인천산곡 행복주택(A1),400
2026-05,인천,분양,인천광역시 서구 가정동  58-2,인천가정2 A2블록 신혼희망타운(공공분양),534
2026-05,인천,임대,인천광역시 서구 가정동  58-2,인천가정2 A2블록 신혼희망타운(행복주택),267
2025-08,인천,임대,인천광역시 서구 당하동 1335-2,인천검단AA35-2(국민임대),593
2025-08,인천,임대,인천광역시 서구 당하동 1335-2,인천검단AA35-2(영구임대),490
2025-08,인천,임대,인천광역시 서구 당하동 1335-3,인천검단AA35-1블록 행복주택,855
2026-07,인천,분양,인천광역시 서구 마전동 AA29블록,e편한세상 검단 에코비스타,732
2026-10,인천,분양,인천광역시 서구 불로동  0-0,제일풍경채 검단 Ⅲ ,610
2026-10,인천,분양,인천광역시 서구 불로동 0-0,인천검단AA21(공공분양),1224
2025-01,인천,분양,인천광역시 서구 불로동 AA16,힐스테이트검단웰카운티(AA16),1535
2026-05,인천,분양,인천광역시 서구 불로동 AA20블록,디에트르 더 에듀,781
2025-11,인천,분양,인천광역시 서구 불로동 AA23블록,검단신도시 금강펜테리움 3차 센트럴파크,1049
2025-09,인천,분양,인천광역시 서구 불로동 AB17블록,우미린 클래스원,875
2025-04,인천,분양,인천광역시 서구 불로동 AB18블록,제일풍경채 검단Ⅱ ,1734
2026-03,인천,분양,인천광역시 서구 불로동 AB19블록,검단호수공원역 호반써밋,856
2025-01,인천,분양,인천광역시 서구 불로동 불로2지구 9블록 1로트 및 2로트,힐스테이트 불로 포레스트,736
2026-12,인천,분양,인천광역시 서구 연희동  166-10,인천 연희공원 호반써밋 파크에디션,1370
2025-02,인천,분양,인천광역시 서구 오류동  1719-5,왕길역 금호어울림 에듀그린,243
2026-07,인천,분양,인천광역시 서구 원당동  0-0,e편한세상 검단 웰카운티(공공분양),1458
2026-06,인천,분양,인천광역시 서구 원당동  810-1,칸타빌 더 스위트,625
2026-04,인천,분양,인천광역시 서구 원당동  RC1블록,검단신도시 롯데캐슬 넥스티엘,372
2025-06,인천,분양,인천광역시 서구 원당동  RC4블록,금강펜테리움 더 시글로 2차,483
2026-12,인천,분양,인천광역시 서구 원당동 AB13,인천검단AB13호반써밋Ⅲ(사전청약),905
2025-03,인천,분양,인천광역시 연수구 송도동  30-5,더샵송도아크베이,775
2025-02,인천,분양,인천광역시 연수구 송도동  396-1,송도 Luxe Ocean SK VIEW,1114
2025-06,인천,분양,인천광역시 연수구 송도동  397-2,힐스테이트 레이크 송도 4차,1319
2025-06,인천,분양,인천광역시 연수구 송도동 155-1,송도아메리칸타운더샵(M2-1),498
2025-04,인천,분양,인천광역시 연수구 옥련동  118-44,KTX송도역 서해그랑블 더 파크,348
2025-06,인천,분양조합,인천광역시 연수구 옥련동  271-17,송도역 경남아너스빌,218
2025-04,인천,분양조합,인천광역시 중구 신흥동3가  7-79,신흥동3가 숭의역 엘크루,440
2025-01,인천,분양,인천광역시 중구 운남동  0-0,인천영종지구 A37블록,514
2026-03,인천,분양,인천광역시 중구 운남동  1710-1,영종 오션파크 모아엘가 그랑데,560
2025-06,인천,분양,인천광역시 중구 운남동  1710-2,제일풍경채 디오션,670
2025-01,인천,분양,인천광역시 중구 운서동  0-0,ANDANTE,675
2026-04,인천,분양,인천광역시 중구 운서동  3085-4,운서역 대라수 어썸에듀,311
2025-08,인천,임대,인천광역시 중구 운서동 3085-1,영종유승한내들스카이2차(A11)민간임대,243
2025-09,전남,임대,전라남도 강진군 군동면 호계리 879-2,강진승원팰라체리버시티(민간임대),226
2025-12,전남,분양,전라남도 광양시 광양읍 용강리 산 1-1,광양 푸르지오 센터파크,992
2026-12,전남,분양,전라남도 광양시 마동  348-4,더샵 레이크센텀,925
2026-03,전남,임대,전라남도 광양시 중동 1322-1,광양중동센텀유블레스(민감임대),376
2025-01,전남,분양,전라남도 나주시 송월동  135-3,나주역자이 리버파크,1554
2025-05,전남,분양조합,전라남도 담양군 담양읍 백동리 248-13,담양센트럴파크 남양휴튼,224
2025-03,전남,임대,전라남도 목포시 상동 1129-1,미래엔스위트,193
